n_sub,power,mean_of_means,sd_of_means
5,0.0505,0.502271812080537,0.014901509410747667
7,0.0385,0.5024084372003835,0.01220694739496127
9,0.024,0.5022509321401939,0.010194381597805948
11,0.027,0.5022147651006711,0.008742899090717389
13,0.0295,0.5026664945792463,0.007488311944588002
15,0.0155,0.50238903803132,0.0064865204005662685
17,0.0095,0.5024322937228582,0.005415462759637615
19,0.005,0.5023205581066762,0.004552512219022932
21,0.002,0.5023031319910515,0.003666700718094398
23,0.0,0.5023500145900205,0.002712886389140099
25,0.0,0.5023202684563759,0.0014833718994075717
