rank,sample_idx,time_sec,tt_mean_product,wall_c,tt_sign_agree
1,784,0.098,1051369.9598930003,4446.089527027027,0.7
2,1190,0.14875,987343.4351028373,9643.089527027027,0.7066666666666667
3,1279,0.159875,984179.3124117134,9080.089527027027,0.6733333333333333
4,1365,0.170625,978101.578483998,10126.089527027027,0.6733333333333333
5,1018,0.12725,782519.8930716395,7567.089527027027,0.6533333333333333
6,935,0.116875,781997.7223088668,9788.089527027027,0.6533333333333333
7,1192,0.149,769541.6117937801,8902.089527027027,0.6533333333333333
8,1197,0.149625,750233.3641255728,-7253.910472972973,0.68
9,949,0.118625,741114.3998193876,6344.089527027027,0.6533333333333333
10,864,0.108,740705.7129304879,5523.089527027027,0.7266666666666667
11,850,0.10625,735788.2322587422,9821.089527027027,0.6533333333333333
12,1720,0.215,709638.0165465466,8517.089527027027,0.6866666666666666
13,1107,0.138375,693501.3384770137,6232.089527027027,0.6266666666666667
14,1371,0.171375,679164.6478562402,-7285.910472972973,0.6733333333333333
15,1191,0.148875,634101.2250274403,10528.089527027027,0.66
16,774,0.09675,626249.8120081839,-4114.910472972973,0.64
17,1277,0.159625,625173.5404576054,9176.089527027027,0.6533333333333333
18,1104,0.138,616630.7435449145,9852.089527027027,0.6466666666666666
19,676,0.0845,615372.082769777,5057.089527027027,0.66
20,882,0.11025,599718.0578264912,4623.089527027027,0.64
21,1722,0.21525,557076.7505827043,7680.089527027027,0.6466666666666666
22,875,0.109375,529083.3287177489,-3326.910472972973,0.6266666666666667
23,506,0.06325,524550.5058772507,3705.089527027027,0.68
24,1278,0.15975,520672.63841519086,10222.089527027027,0.64
25,1355,0.169375,514267.63958572765,-3503.910472972973,0.6333333333333333
26,852,0.1065,499857.553528529,5250.089527027027,0.6266666666666667
27,857,0.107125,492057.47464721877,-7237.910472972973,0.6533333333333333
28,1451,0.181375,489377.14589076367,8501.089527027027,0.6333333333333333
29,589,0.073625,484695.92366191087,3753.089527027027,0.62
30,849,0.106125,484543.30100760877,10062.089527027027,0.6533333333333333
31,1541,0.192625,483899.0583515531,7777.089527027027,0.6333333333333333
32,1540,0.1925,467626.03690687724,9096.089527027027,0.6266666666666667
33,1027,0.128375,466264.6907769423,-7075.910472972973,0.6866666666666666
34,856,0.107,466264.6882000634,-6480.910472972973,0.6533333333333333
35,867,0.108375,465348.6484399506,5523.089527027027,0.6266666666666667
36,1284,0.1605,464534.37010374543,-7011.910472972973,0.64
37,1909,0.238625,463452.2392391222,7278.089527027027,0.66
38,1020,0.1275,448926.75778180885,9499.089527027027,0.64
39,1642,0.20525,443074.2219996279,4687.089527027027,0.6066666666666667
40,1025,0.128125,436472.3535853349,-5434.910472972973,0.6266666666666667
41,2055,0.256875,429180.8860194596,696.089527027027,0.6666666666666666
42,1630,0.20375,428059.859390008,8147.089527027027,0.6133333333333333
43,782,0.09775,421024.68891204655,4783.089527027027,0.62
44,767,0.095875,419178.7747091627,4124.089527027027,0.66
45,1908,0.2385,416236.4607974087,6779.089527027027,0.6
46,1458,0.18225,415063.84292791877,-6593.910472972973,0.6333333333333333
47,1204,0.1505,398091.83221723465,5733.089527027027,0.6133333333333333
48,2294,0.28675,397323.0505066414,4204.089527027027,0.6266666666666667
49,1813,0.226625,389809.86025940726,7230.089527027027,0.6066666666666667
50,1363,0.170375,378657.9703836896,6811.089527027027,0.6133333333333333
